"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Fructose metabolism	Reactome	R-HSA-5652084	1	7	0.179088125	0.248142691	ALDOB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5652084
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"	Reactome	R-HSA-3065678	1	7	0.179088125	0.248142691	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3065678
N-end rule pathway I (eukaryotic)	BioCyc	PWY-7799	1	7	0.179088125	0.248142691	METAP2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7799
superpathway of choline degradation to L-serine	BioCyc	PWY66-414	1	7	0.179088125	0.248142691	SHMT2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-414
glycogenolysis	BioCyc	PWY-5941	1	7	0.179088125	0.248142691	MGAM	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-5941
Pyrimidine metabolism	KEGG PATHWAY	hsa00240	3	57	0.179855254	0.248811616	NME3|TK1|CAD	http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:7083%09red/hsa:790%09red/hsa:4832%09red
E3 ubiquitin ligases ubiquitinate target proteins	Reactome	R-HSA-8866654	3	57	0.179855254	0.248811616	VCP|WAC|UBE2D3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866654
Citrate cycle (TCA cycle)	KEGG PATHWAY	hsa00020	2	30	0.182870178	0.252383921	DLST|SUCLG1	http://www.genome.jp/kegg-bin/show_pathway?hsa00020/hsa:8802%09red/hsa:1743%09red
Pyruvate metabolism	Reactome	R-HSA-70268	2	30	0.182870178	0.252383921	LDHA|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70268
@@Pyruvate metabolism	KEGG PATHWAY	hsa00620	1	39	0.627342386	0.657394716	LDHA	http://www.genome.jp/kegg-bin/show_pathway?hsa00620/hsa:3939%09red
EGFR downregulation	Reactome	R-HSA-182971	2	30	0.182870178	0.252383921	PTPN3|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-182971
Ribosomal scanning and start codon recognition	Reactome	R-HSA-72702	3	58	0.185979267	0.256270644	EIF3I|EIF3B|EIF2S1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72702
Translation initiation complex formation	Reactome	R-HSA-72649	3	58	0.185979267	0.256270644	EIF3I|EIF3B|EIF2S1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72649
Metabolism of water-soluble vitamins and cofactors	Reactome	R-HSA-196849	5	120	0.190139958	0.261797739	PTGS2|BST1|SHMT2|PARP10|AASDHPPT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196849
PERK regulates gene expression	Reactome	R-HSA-381042	2	31	0.191714644	0.262728478	NFYB|EIF2S1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381042
Transferrin endocytosis and recycling	Reactome	R-HSA-917977	2	31	0.191714644	0.262728478	ATP6V1E1|MCOLN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-917977
Activated NOTCH1 Transmits Signal to the Nucleus	Reactome	R-HSA-2122948	2	31	0.191714644	0.262728478	ADAM17|ARRB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122948
HS-GAG biosynthesis	Reactome	R-HSA-2022928	2	31	0.191714644	0.262728478	AGRN|EXT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022928
Macroautophagy	Reactome	R-HSA-1632852	4	89	0.191716724	0.262728478	DLC1|CHMP4B|CHMP4C|TSC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1632852
B-WICH complex positively regulates rRNA expression	Reactome	R-HSA-5250924	4	89	0.191716724	0.262728478	TBP|DDX21|H2AFX|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250924
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	Reactome	R-HSA-72662	3	59	0.192156852	0.26312558	EIF3I|EIF3B|EIF2S1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72662
Metabolism of vitamins and cofactors	Reactome	R-HSA-196854	7	186	0.193054959	0.264148692	PTGS2|PARP10|AGRN|AKT1|BST1|SHMT2|AASDHPPT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196854
Long-term depression	KEGG PATHWAY	hsa04730	3	60	0.198385068	0.26987744	PPP2CA|IGF1R|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04730/hsa:5515%09red/hsa:3480%09red/hsa:5594%09red
Netrin mediated repulsion signals	Reactome	R-HSA-418886	1	8	0.199092443	0.26987744	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418886
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	Reactome	R-HSA-8939242	1	8	0.199092443	0.26987744	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939242
AMPK inhibits chREBP transcriptional activation activity	Reactome	R-HSA-163680	1	8	0.199092443	0.26987744	ADIPOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163680
HuR (ELAVL1) binds and stabilizes mRNA	Reactome	R-HSA-450520	1	8	0.199092443	0.26987744	TNFSF13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450520
Release of Hh-Np from the secreting cell	Reactome	R-HSA-5362798	1	8	0.199092443	0.26987744	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5362798
TRAIL  signaling	Reactome	R-HSA-75158	1	8	0.199092443	0.26987744	CFLAR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75158
Sema4D mediated inhibition of cell attachment and migration	Reactome	R-HSA-416550	1	8	0.199092443	0.26987744	RRAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416550
ROBO receptors bind AKAP5	Reactome	R-HSA-9010642	1	8	0.199092443	0.26987744	AKAP5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9010642
Cross-presentation of particulate exogenous antigens (phagosomes)	Reactome	R-HSA-1236973	1	8	0.199092443	0.26987744	NCF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236973
urate biosynthesis/inosine 5'-phosphate degradation	BioCyc	PWY-5695	1	8	0.199092443	0.26987744	IMPDH2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-5695
serotonin degradation	BioCyc	PWY-6313	1	8	0.199092443	0.26987744	MAOA	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6313
Plasma lipoprotein clearance	Reactome	R-HSA-8964043	2	32	0.200613554	0.271308902	CLTA|NR1H2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964043
Amino acid transport across the plasma membrane	Reactome	R-HSA-352230	2	32	0.200613554	0.271308902	SIT1|SLC38A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-352230
Nuclear Pore Complex (NPC) Disassembly	Reactome	R-HSA-3301854	2	32	0.200613554	0.271308902	CCNB2|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3301854
MHC class II antigen presentation	Reactome	R-HSA-2132295	5	123	0.202863307	0.274139604	CLTA|TUBA1A|TUBA8|DLC1|KIF18A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2132295
Post-translational modification: synthesis of GPI-anchored proteins	Reactome	R-HSA-163125	4	92	0.206738823	0.279161219	PLAUR|LY6E|BST1|GAB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163125
Base excision repair	KEGG PATHWAY	hsa03410	2	33	0.209559016	0.282098676	MPG|HMGB1	http://www.genome.jp/kegg-bin/show_pathway?hsa03410/hsa:3146%09red/hsa:4350%09red
@@Base Excision Repair	Reactome	R-HSA-73884	2	89	0.653527455	0.680757766	MPG|H2AFX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73884
Apoptosis - multiple species	KEGG PATHWAY	hsa04215	2	33	0.209559016	0.282098676	MAPK8|BIRC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04215/hsa:329%09red/hsa:5599%09red
Resolution of D-loop Structures through Holliday Junction Intermediates	Reactome	R-HSA-5693568	2	33	0.209559016	0.282098676	BRCA1|BRIP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693568
Synthesis of bile acids and bile salts	Reactome	R-HSA-192105	2	33	0.209559016	0.282098676	NCOA1|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-192105
Nicotinic acetylcholine receptor signaling pathway	PANTHER	P00044	4	93	0.211820282	0.284923515	STX11|MYH10|SLC6A8|MYO7A	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00044
RHO GTPases activate PKNs	Reactome	R-HSA-5625740	4	94	0.216936375	0.289823562	SFN|MYH10|H2AFX|CDC25C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5625740
Cell-cell junction organization	Reactome	R-HSA-421270	3	63	0.217344577	0.289823562	CDH5|PARD6A|CRB3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-421270
Propanoate metabolism	KEGG PATHWAY	hsa00640	2	34	0.21854349	0.289823562	SUCLG1|LDHA	http://www.genome.jp/kegg-bin/show_pathway?hsa00640/hsa:8802%09red/hsa:3939%09red
Resolution of D-Loop Structures	Reactome	R-HSA-5693537	2	34	0.21854349	0.289823562	BRCA1|BRIP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693537
Axonal growth inhibition (RHOA activation)	Reactome	R-HSA-193634	1	9	0.218609772	0.289823562	RTN4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193634
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	Reactome	R-HSA-159763	1	9	0.218609772	0.289823562	GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159763
Interleukin-23 signaling	Reactome	R-HSA-9020933	1	9	0.218609772	0.289823562	TYK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020933
ATF6 (ATF6-alpha) activates chaperone genes	Reactome	R-HSA-381183	1	9	0.218609772	0.289823562	NFYB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381183
InlA-mediated entry of Listeria monocytogenes into host cells	Reactome	R-HSA-8876493	1	9	0.218609772	0.289823562	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876493
OAS antiviral response	Reactome	R-HSA-8983711	1	9	0.218609772	0.289823562	OASL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8983711
MAPK3 (ERK1) activation	Reactome	R-HSA-110056	1	9	0.218609772	0.289823562	TYK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110056
MET receptor recycling	Reactome	R-HSA-8875656	1	9	0.218609772	0.289823562	CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875656
Regulation of PTEN mRNA translation	Reactome	R-HSA-8943723	1	9	0.218609772	0.289823562	TEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943723
Regulation of commissural axon pathfinding by SLIT and ROBO	Reactome	R-HSA-428542	1	9	0.218609772	0.289823562	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-428542
Adrenoceptors	Reactome	R-HSA-390696	1	9	0.218609772	0.289823562	ADRB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390696
putrescine degradation III	BioCyc	PWY-0	1	9	0.218609772	0.289823562	MAOA	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-0
C20 prostanoid biosynthesis	BioCyc	PWY66-374	1	9	0.218609772	0.289823562	PTGS2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-374
sphingosine and sphingosine-1-phosphate metabolism	BioCyc	PWY3DJ-11470	1	9	0.218609772	0.289823562	SPHK2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY3DJ-11470
RNA Polymerase III Transcription Initiation	Reactome	R-HSA-76046	2	35	0.227559773	0.30123268	BRF2|TBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76046
Lysosome Vesicle Biogenesis	Reactome	R-HSA-432720	2	35	0.227559773	0.30123268	CLTA|ARRB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432720
Metabotropic glutamate receptor group III pathway	PANTHER	P00039	3	65	0.230184986	0.304247527	GRIN2B|GRM5|PRKAR2B	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00039
DNA methylation	Reactome	R-HSA-5334118	3	65	0.230184986	0.304247527	DNMT3B|DNMT1|H2AFX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5334118
"Alanine, aspartate and glutamate metabolism"	KEGG PATHWAY	hsa00250	2	36	0.236600991	0.308982857	GLS2|CAD	http://www.genome.jp/kegg-bin/show_pathway?hsa00250/hsa:790%09red/hsa:27165%09red
Metabolic disorders of biological oxidation enzymes	Reactome	R-HSA-5579029	2	36	0.236600991	0.308982857	MAOA|VDR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5579029
ROS and RNS production in phagocytes	Reactome	R-HSA-1222556	2	36	0.236600991	0.308982857	NCF1|ATP6V1E1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1222556
Cytochrome P450 - arranged by substrate type	Reactome	R-HSA-211897	3	66	0.236657118	0.308982857	NCOA1|VDR|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211897
IRAK2 mediated activation of TAK1 complex	Reactome	R-HSA-937042	1	10	0.237651957	0.308982857	TRAF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937042
FCGR activation	Reactome	R-HSA-2029481	1	10	0.237651957	0.308982857	FYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029481
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	Reactome	R-HSA-442729	1	10	0.237651957	0.308982857	CAMK2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-442729
Dimerization of procaspase-8	Reactome	R-HSA-69416	1	10	0.237651957	0.308982857	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69416
Role of second messengers in netrin-1 signaling	Reactome	R-HSA-418890	1	10	0.237651957	0.308982857	TRPC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418890
Processing and activation of SUMO	Reactome	R-HSA-3215018	1	10	0.237651957	0.308982857	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3215018
MASTL Facilitates Mitotic Progression	Reactome	R-HSA-2465910	1	10	0.237651957	0.308982857	PPP2CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2465910
Removal of aminoterminal propeptides from gamma-carboxylated proteins	Reactome	R-HSA-159782	1	10	0.237651957	0.308982857	GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159782
Caspase activation via Dependence Receptors in the absence of ligand	Reactome	R-HSA-418889	1	10	0.237651957	0.308982857	APPL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418889
rRNA processing in the mitochondrion	Reactome	R-HSA-8868766	1	10	0.237651957	0.308982857	ELAC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8868766
p75NTR regulates axonogenesis	Reactome	R-HSA-193697	1	10	0.237651957	0.308982857	RTN4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193697
CASP8 activity is inhibited	Reactome	R-HSA-5218900	1	10	0.237651957	0.308982857	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218900
Regulation by c-FLIP	Reactome	R-HSA-3371378	1	10	0.237651957	0.308982857	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371378
Gamma-carboxylation of protein precursors	Reactome	R-HSA-159740	1	10	0.237651957	0.308982857	GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159740
CMP phosphorylation	BioCyc	PWY-7205	1	10	0.237651957	0.308982857	NME3	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7205
noradrenaline and adrenaline degradation	BioCyc	PWY-6342	1	10	0.237651957	0.308982857	MAOA	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6342
purine nucleotides degradation	BioCyc	PWY-6353	1	10	0.237651957	0.308982857	IMPDH2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6353
COPI-dependent Golgi-to-ER retrograde traffic	Reactome	R-HSA-6811434	4	99	0.242985963	0.315683322	MPP1|TUBA8|KIF18A|TUBA1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811434
Triglyceride metabolism	Reactome	R-HSA-8979227	2	37	0.245660585	0.31868497	PPP1CA|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8979227
Mitochondrial Fatty Acid Beta-Oxidation	Reactome	R-HSA-77289	2	37	0.245660585	0.31868497	MECR|THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77289
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	4	100	0.248279696	0.32184405	CCL18|IL2RA|IL2RB|CXCL12	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:3560%09red/hsa:3559%09red/hsa:6387%09red/hsa:6362%09red
Staphylococcus aureus infection	KEGG PATHWAY	hsa05150	3	68	0.249691817	0.323195768	FCAR|ICAM1|MBL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05150/hsa:2204%09red/hsa:4153%09red/hsa:3383%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	hsa00010	3	68	0.249691817	0.323195768	ALDOB|LDHA|PGAM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:3939%09red/hsa:229%09red/hsa:441531%09red
rRNA processing	Reactome	R-HSA-72312	7	203	0.253014298	0.324953629	DDX21|ELAC2|MPP6|UTP14A|CSNK1D|EMG1|NIP7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72312
Allograft rejection	KEGG PATHWAY	hsa05330	2	38	0.2547323	0.324953629	FAS|CD40	http://www.genome.jp/kegg-bin/show_pathway?hsa05330/hsa:355%09red/hsa:958%09red
Class C/3 (Metabotropic glutamate/pheromone receptors)	Reactome	R-HSA-420499	2	38	0.2547323	0.324953629	GRM5|GRM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-420499
Salvage pyrimidine ribonucleotides	PANTHER	P02775	1	11	0.256230553	0.324953629	NME3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02775
Fructose galactose metabolism	PANTHER	P02744	1	11	0.256230553	0.324953629	ALDOB	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02744
Creatine metabolism	Reactome	R-HSA-71288	1	11	0.256230553	0.324953629	SLC6A8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71288
CD28 dependent Vav1 pathway	Reactome	R-HSA-389359	1	11	0.256230553	0.324953629	FYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389359
Metallothioneins bind metals	Reactome	R-HSA-5661231	1	11	0.256230553	0.324953629	MT2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5661231
ATF6 (ATF6-alpha) activates chaperones	Reactome	R-HSA-381033	1	11	0.256230553	0.324953629	NFYB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381033
Free fatty acids regulate insulin secretion	Reactome	R-HSA-400451	1	11	0.256230553	0.324953629	ACSL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400451
Formation of apoptosome	Reactome	R-HSA-111458	1	11	0.256230553	0.324953629	MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111458
Calcineurin activates NFAT	Reactome	R-HSA-2025928	1	11	0.256230553	0.324953629	PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2025928
GP1b-IX-V activation signalling	Reactome	R-HSA-430116	1	11	0.256230553	0.324953629	PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-430116
Establishment of Sister Chromatid Cohesion	Reactome	R-HSA-2468052	1	11	0.256230553	0.324953629	CDCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2468052
mitochondrial fatty acid beta-oxidation of saturated fatty acids	Reactome	R-HSA-77286	1	11	0.256230553	0.324953629	MECR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77286
Regulation of the apoptosome activity	Reactome	R-HSA-9627069	1	11	0.256230553	0.324953629	MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9627069
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	Reactome	R-HSA-159854	1	11	0.256230553	0.324953629	GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159854
Interleukin-6 signaling	Reactome	R-HSA-1059683	1	11	0.256230553	0.324953629	TYK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1059683
Phenylalanine and tyrosine metabolism	Reactome	R-HSA-8963691	1	11	0.256230553	0.324953629	PCBD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8963691
Pyrimidine salvage	Reactome	R-HSA-73614	1	11	0.256230553	0.324953629	TK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73614
Digestion of dietary carbohydrate	Reactome	R-HSA-189085	1	11	0.256230553	0.324953629	MGAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-189085
folate transformations I	BioCyc	PWY-2201	1	11	0.256230553	0.324953629	SHMT2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-2201
reactive oxygen species degradation	BioCyc	DETOX1-PWY-1	1	11	0.256230553	0.324953629	GPX7	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=DETOX1-PWY-1
pyrimidine deoxyribonucleotide phosphorylation	BioCyc	PWY-7197	1	11	0.256230553	0.324953629	NME3	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7197
guanosine deoxyribonucleotides de novo biosynthesis	BioCyc	PWY-7226	1	11	0.256230553	0.324953629	NME3	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7226
adenosine deoxyribonucleotides de novo biosynthesis	BioCyc	PWY-7227	1	11	0.256230553	0.324953629	NME3	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7227
ISG15 antiviral mechanism	Reactome	R-HSA-1169408	3	69	0.256249147	0.324953629	TRIM25|NEDD4|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169408
Carboxyterminal post-translational modifications of tubulin	Reactome	R-HSA-8955332	2	39	0.263810173	0.333575003	TUBA1A|TUBA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8955332
mTOR signalling	Reactome	R-HSA-165159	2	39	0.263810173	0.333575003	AKT1|TSC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165159
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Reactome	R-HSA-110313	2	39	0.263810173	0.333575003	VCP|TRIM25	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110313
tRNA processing	Reactome	R-HSA-72306	4	103	0.264303107	0.333956994	EPRS|OSGEP|TPR|ELAC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72306
Ferroptosis	KEGG PATHWAY	hsa04216	2	40	0.272888527	0.342212731	ACSL3|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa04216/hsa:2181%09red/hsa:7157%09red
Smooth Muscle Contraction	Reactome	R-HSA-445355	2	40	0.272888527	0.342212731	SORBS3|TPM3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445355
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"	Reactome	R-HSA-2892247	1	12	0.274356835	0.342212731	SALL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2892247
Tandem pore domain potassium channels	Reactome	R-HSA-1296346	1	12	0.274356835	0.342212731	KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296346
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	Reactome	R-HSA-1474151	1	12	0.274356835	0.342212731	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474151
TICAM1-dependent activation of IRF3/IRF7	Reactome	R-HSA-9013973	1	12	0.274356835	0.342212731	TLR3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013973
Josephin domain DUBs	Reactome	R-HSA-5689877	1	12	0.274356835	0.342212731	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689877
SHC1 events in ERBB4 signaling	Reactome	R-HSA-1250347	1	12	0.274356835	0.342212731	SHC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1250347
Hyaluronan uptake and degradation	Reactome	R-HSA-2160916	1	12	0.274356835	0.342212731	HYAL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2160916
Lysine catabolism	Reactome	R-HSA-71064	1	12	0.274356835	0.342212731	DLST	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71064
CaMK IV-mediated phosphorylation of CREB	Reactome	R-HSA-111932	1	12	0.274356835	0.342212731	CAMK2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111932
cholesterol biosynthesis III (via desmosterol)	BioCyc	PWY66-4	1	12	0.274356835	0.342212731	DHCR24	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-4
