"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Transcriptional Regulation by E2F6	Reactome	R-HSA-8953750	3	35	0.000636558	0.003443849	EHMT2|RBBP8|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953750
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	4	85	0.000668604	0.003557267	S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	4	85	0.000668604	0.003557267	S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	4	85	0.000668604	0.003557267	S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
Signaling by NOTCH	Reactome	R-HSA-157118	6	231	0.000676372	0.003578825	TP53|PSMD4|KAT2B|ADAM17|E2F3|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
Colorectal cancer	KEGG PATHWAY	hsa05210	4	86	0.000697313	0.003669469	PIK3CA|PIK3R3|TP53|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:5290%09red/hsa:8503%09red/hsa:581%09red/hsa:7157%09red
Thyroid cancer	KEGG PATHWAY	hsa05216	3	37	0.000740709	0.00385569	TP53|PAX8|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:7849%09red/hsa:7157%09red/hsa:581%09red
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	Reactome	R-HSA-8939243	3	37	0.000740709	0.00385569	CBX4|CBFB|SMARCB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939243
MAPK6/MAPK4 signaling	Reactome	R-HSA-5687128	4	88	0.000757332	0.003900059	PSMD4|FOXO1|ETV4|CDC14A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5687128
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	4	88	0.000757332	0.003900059	PIK3CA|FOXO1|PIK3R3|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
Presynaptic phase of homologous DNA pairing and strand exchange	Reactome	R-HSA-5693616	3	39	0.000855112	0.004380174	RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693616
Necroptosis	KEGG PATHWAY	hsa04217	5	162	0.00090625	0.004617558	TLR3|TNF|BIRC2|BAX|TICAM1	http://www.genome.jp/kegg-bin/show_pathway?hsa04217/hsa:7098%09red/hsa:329%09red/hsa:148022%09red/hsa:581%09red/hsa:7124%09red
Pre-NOTCH Transcription and Translation	Reactome	R-HSA-1912408	4	93	0.00092321	0.004679217	E2F3|TP53|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912408
Bladder cancer	KEGG PATHWAY	hsa05219	3	41	0.000980148	0.004941796	E2F3|TP53|RB1	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:1871%09red/hsa:5925%09red/hsa:7157%09red
Amoebiasis	KEGG PATHWAY	hsa05146	4	95	0.000996195	0.004996539	PIK3CA|CD14|TNF|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa05146/hsa:5290%09red/hsa:7124%09red/hsa:929%09red/hsa:8503%09red
Downstream TCR signaling	Reactome	R-HSA-202424	4	96	0.001034166	0.005160114	PTEN|PSMD4|IKBKG|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202424
G1 Phase	Reactome	R-HSA-69236	3	43	0.001116188	0.005456289	CCNH|E2F3|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69236
SUMOylation of RNA binding proteins	Reactome	R-HSA-4570464	3	43	0.001116188	0.005456289	UBE2I|CBX4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4570464
Cyclin D associated events in G1	Reactome	R-HSA-69231	3	43	0.001116188	0.005456289	CCNH|E2F3|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69231
Voltage gated Potassium channels	Reactome	R-HSA-1296072	3	43	0.001116188	0.005456289	KCNAB1|KCNA2|KCNA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296072
Zinc influx into cells by the SLC39 gene family	Reactome	R-HSA-442380	2	10	0.001242019	0.005980321	SLC39A1|SLC39A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-442380
TRIF-mediated programmed cell death	Reactome	R-HSA-2562578	2	10	0.001242019	0.005980321	TICAM1|CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2562578
Negative regulation of activity of TFAP2 (AP-2) family transcription factors	Reactome	R-HSA-8866904	2	10	0.001242019	0.005980321	UBE2I|TFAP2C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866904
Type II diabetes mellitus	KEGG PATHWAY	hsa04930	3	46	0.001341655	0.006396107	PIK3CA|TNF|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04930/hsa:5290%09red/hsa:7124%09red/hsa:8503%09red
RNA Polymerase I Transcription Initiation	Reactome	R-HSA-73762	3	46	0.001341655	0.006396107	EHMT2|CCNH|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73762
"TICAM1,TRAF6-dependent induction of TAK1 complex"	Reactome	R-HSA-9014325	2	11	0.001463585	0.006908983	TLR3|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9014325
Vitamin D (calciferol) metabolism	Reactome	R-HSA-196791	2	11	0.001463585	0.006908983	UBE2I|DBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196791
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	7	370	0.001501525	0.007009605	UBE4A|PSMD4|FBXO11|CD14|IKBKG|FBXO7|TRIP12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
Notch signaling pathway	KEGG PATHWAY	hsa04330	3	48	0.001506737	0.007009605	KAT2B|CREBBP|ADAM17	http://www.genome.jp/kegg-bin/show_pathway?hsa04330/hsa:8850%09red/hsa:6868%09red/hsa:1387%09red
@@Notch signaling pathway	PANTHER	P00045	1	40	0.165961934	0.211403893	ADAM17	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00045
TP53 Regulates Transcription of Cell Cycle Genes	Reactome	R-HSA-6791312	3	48	0.001506737	0.007009605	PLAGL1|TP53|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791312
Pre-NOTCH Expression and Processing	Reactome	R-HSA-1912422	4	109	0.001624473	0.007520998	E2F3|TP53|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912422
RNA Polymerase I Transcription	Reactome	R-HSA-73864	4	110	0.001677818	0.007730807	PTRF|EHMT2|CCNH|KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73864
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Reactome	R-HSA-933543	2	12	0.001702568	0.007807489	MAVS|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933543
Metabolism of lipids	Reactome	R-HSA-556833	10	728	0.001723748	0.007867155	UBE2I|PIK3CA|NPAS2|FHL2|PTEN|PIK3R3|MED17|DBP|CREBBP|DHCR24	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-556833
Amyotrophic lateral sclerosis (ALS)	KEGG PATHWAY	hsa05014	3	51	0.001777338	0.008035571	TNF|TP53|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa05014/hsa:7124%09red/hsa:581%09red/hsa:7157%09red
Apoptotic execution phase	Reactome	R-HSA-75153	3	51	0.001777338	0.008035571	HMGB2|BIRC2|ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75153
PPARA activates gene expression	Reactome	R-HSA-1989781	4	114	0.001903386	0.008565237	FHL2|NPAS2|CREBBP|MED17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1989781
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Reactome	R-HSA-400206	4	115	0.001962895	0.008757703	FHL2|NPAS2|CREBBP|MED17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400206
Mitotic Anaphase	Reactome	R-HSA-68882	5	194	0.001964345	0.008757703	PSMD4|MAD2L1|VRK1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68882
Synthesis of PIPs at the plasma membrane	Reactome	R-HSA-1660499	3	53	0.001973514	0.008758036	PIK3CA|PIK3R3|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660499
Mitotic Metaphase and Anaphase	Reactome	R-HSA-2555396	5	195	0.002007638	0.008828106	PSMD4|MAD2L1|VRK1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2555396
Mitotic G2-G2/M phases	Reactome	R-HSA-453274	5	195	0.002007638	0.008828106	PSMD4|TP53|E2F3|FOXM1|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453274
Meiosis	Reactome	R-HSA-1500620	4	116	0.00202368	0.008858198	UBE2I|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1500620
Cell Cycle Checkpoints	Reactome	R-HSA-69620	6	289	0.002067306	0.009008216	MAD2L1|TP53|CLASP2|PSMD4|RBBP8|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69620
TCR signaling	Reactome	R-HSA-202403	4	117	0.002085753	0.009047658	PTEN|PSMD4|IKBKG|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202403
Legionellosis	KEGG PATHWAY	hsa05134	3	55	0.002182661	0.009383495	VCP|CD14|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05134/hsa:7124%09red/hsa:7415%09red/hsa:929%09red
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	Reactome	R-HSA-168643	3	55	0.002182661	0.009383495	SUGT1|BIRC2|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168643
Neurotrophin signaling pathway	KEGG PATHWAY	hsa04722	4	119	0.002213822	0.009427926	PIK3CA|PIK3R3|TP53|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa04722/hsa:5290%09red/hsa:8503%09red/hsa:581%09red/hsa:7157%09red
Constitutive Signaling by EGFRvIII	Reactome	R-HSA-5637810	2	14	0.002232157	0.009427926	PIK3CA|CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637810
RUNX3 regulates NOTCH signaling	Reactome	R-HSA-8941856	2	14	0.002232157	0.009427926	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941856
Signaling by EGFRvIII in Cancer	Reactome	R-HSA-5637812	2	14	0.002232157	0.009427926	PIK3CA|CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637812
MAPK signaling pathway	KEGG PATHWAY	hsa04010	6	295	0.002285369	0.009610524	TP53|MAP3K4|CD14|TNF|MAP3K14|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:8517%09red/hsa:7124%09red/hsa:7157%09red/hsa:4216%09red/hsa:929%09red/hsa:9020%09red
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	5	203	0.00237949	0.00985567	DDX5|TNF|PIK3R3|TP53|PIK3CA	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:5290%09red/hsa:1655%09red/hsa:8503%09red/hsa:7157%09red/hsa:7124%09red
Signaling by NOTCH1 in Cancer	Reactome	R-HSA-2644603	3	57	0.00240507	0.00985567	KAT2B|CREBBP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644603
Constitutive Signaling by NOTCH1 PEST Domain Mutants	Reactome	R-HSA-2644606	3	57	0.00240507	0.00985567	KAT2B|CREBBP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644606
Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	R-HSA-2644602	3	57	0.00240507	0.00985567	KAT2B|CREBBP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644602
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	R-HSA-2894858	3	57	0.00240507	0.00985567	KAT2B|CREBBP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894858
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	R-HSA-2894862	3	57	0.00240507	0.00985567	KAT2B|CREBBP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894862
MicroRNAs in cancer	KEGG PATHWAY	hsa05206	6	299	0.002440087	0.009956795	UBE2I|TP53|PIK3CA|PTEN|E2F3|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:5290%09red/hsa:1387%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:7329%09red
Signaling by NTRK3 (TRKC)	Reactome	R-HSA-9034015	2	15	0.002522454	0.010249465	PIK3CA|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9034015
PDGF signaling pathway	PANTHER	P00047	4	124	0.002557516	0.010348269	PIK3CA|ETS1|PIK3R3|MAP3K4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00047
Lysine degradation	KEGG PATHWAY	hsa00310	3	59	0.002641018	0.010641425	PLOD3|EHMT2|PRDM2	http://www.genome.jp/kegg-bin/show_pathway?hsa00310/hsa:10919%09red/hsa:8985%09red/hsa:7799%09red
TRAF6-mediated induction of TAK1 complex within TLR4 complex	Reactome	R-HSA-937072	2	16	0.002829548	0.011167439	TICAM1|CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937072
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	Reactome	R-HSA-975163	2	16	0.002829548	0.011167439	TICAM1|CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975163
Caspase activation via Death Receptors in the presence of ligand	Reactome	R-HSA-140534	2	16	0.002829548	0.011167439	TICAM1|CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140534
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Reactome	R-HSA-2559584	2	16	0.002829548	0.011167439	TP53|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559584
SUMOylation of DNA methylation proteins	Reactome	R-HSA-4655427	2	16	0.002829548	0.011167439	UBE2I|CBX4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4655427
VEGF signaling pathway	PANTHER	P00056	3	62	0.003020911	0.011825761	PIK3CA|ETS1|PIK3R3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00056
@@VEGF signaling pathway	KEGG PATHWAY	hsa04370	2	59	0.029907292	0.070256801	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04370/hsa:5290%09red/hsa:8503%09red
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	3	62	0.003020911	0.011825761	PIK3CA|FOXO1|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:5290%09red/hsa:8503%09red/hsa:2308%09red
Zinc transporters	Reactome	R-HSA-435354	2	17	0.003153288	0.012244419	SLC39A1|SLC39A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-435354
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	Reactome	R-HSA-5676594	2	17	0.003153288	0.012244419	MAP3K14|BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5676594
Ub-specific processing proteases	Reactome	R-HSA-5689880	5	219	0.003269773	0.01264575	PTEN|PSMD4|TP53|BIRC2|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689880
Hedgehog ligand biogenesis	Reactome	R-HSA-5358346	3	64	0.003291859	0.012680241	VCP|PSMD4|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358346
Costimulation by the CD28 family	Reactome	R-HSA-388841	3	65	0.003432731	0.013170199	PIK3CA|PIK3R3|MAP3K14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	Reactome	R-HSA-1236382	2	18	0.003493521	0.013245119	PIK3CA|CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236382
Signaling by Ligand-Responsive EGFR Variants in Cancer	Reactome	R-HSA-5637815	2	18	0.003493521	0.013245119	PIK3CA|CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637815
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	Reactome	R-HSA-6804114	2	18	0.003493521	0.013245119	TP53|BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804114
SUMOylation of chromatin organization proteins	Reactome	R-HSA-4551638	3	66	0.003577241	0.013509346	UBE2I|CBX4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4551638
Ubiquitin mediated proteolysis	KEGG PATHWAY	hsa04120	4	137	0.003618959	0.013613506	UBE2I|UBE4A|TRIP12|BIRC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04120/hsa:9320%09red/hsa:9354%09red/hsa:329%09red/hsa:7329%09red
superpathway of inositol phosphate compounds	BioCyc	PWY-6371	3	67	0.003725418	0.013959447	PIK3CA|PIK3R3|PTEN	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6371
Regulation of gene expression in beta cells	Reactome	R-HSA-210745	2	19	0.003850097	0.014305866	FOXO1|HNF4A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210745
Regulation of TP53 Activity through Methylation	Reactome	R-HSA-6804760	2	19	0.003850097	0.014305866	EHMT2|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804760
Fc epsilon RI signaling pathway	KEGG PATHWAY	hsa04664	3	68	0.003877291	0.014305866	PIK3CA|TNF|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04664/hsa:5290%09red/hsa:7124%09red/hsa:8503%09red
Regulation of PTEN stability and activity	Reactome	R-HSA-8948751	3	68	0.003877291	0.014305866	FRK|PSMD4|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948751
C-type lectin receptors (CLRs)	Reactome	R-HSA-5621481	4	140	0.003900562	0.014336798	PSMD4|MAP3K14|IKBKG|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621481
Reproduction	Reactome	R-HSA-1474165	4	141	0.00399763	0.014637712	UBE2I|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474165
Circadian Clock	Reactome	R-HSA-400253	3	69	0.004032886	0.014710868	MAML2|NPAS2|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400253
Neddylation	Reactome	R-HSA-8951664	5	232	0.004152404	0.01508968	COPS2|PSMD4|FBXO11|HLF|FBXO7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8951664
Ras Pathway	PANTHER	P04393	3	70	0.004192231	0.015117552	PIK3CA|ETS1|MAP3K4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04393
Epithelial cell signaling in Helicobacter pylori infection	KEGG PATHWAY	hsa05120	3	70	0.004192231	0.015117552	MAP3K14|IKBKG|ADAM17	http://www.genome.jp/kegg-bin/show_pathway?hsa05120/hsa:6868%09red/hsa:8517%09red/hsa:9020%09red
NOTCH4 Intracellular Domain Regulates Transcription	Reactome	R-HSA-9013695	2	20	0.004222868	0.015117552	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013695
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	Reactome	R-HSA-6804115	2	20	0.004222868	0.015117552	PLAGL1|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804115
Signaling by NOTCH1	Reactome	R-HSA-1980143	3	71	0.004355353	0.015534093	KAT2B|CREBBP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980143
Regulation of signaling by CBL	Reactome	R-HSA-912631	2	21	0.004611684	0.016277649	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912631
Metabolism of steroids	Reactome	R-HSA-8957322	4	147	0.004614536	0.016277649	UBE2I|DBP|CREBBP|DHCR24	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8957322
Mitotic G1-G1/S phases	Reactome	R-HSA-453279	4	147	0.004614536	0.016277649	PSMD4|E2F3|RB1|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453279
Non-alcoholic fatty liver disease (NAFLD)	KEGG PATHWAY	hsa04932	4	149	0.004833608	0.016926418	PIK3CA|TNF|PIK3R3|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa04932/hsa:5290%09red/hsa:7124%09red/hsa:8503%09red/hsa:581%09red
Estrogen-dependent gene expression	Reactome	R-HSA-9018519	4	149	0.004833608	0.016926418	DDX5|CBFB|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018519
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	R-HSA-5693565	3	76	0.005228499	0.018242916	UBE2I|EYA4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693565
mTOR signaling pathway	KEGG PATHWAY	hsa04150	4	153	0.005292493	0.018399532	PIK3CA|TNF|PIK3R3|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:5290%09red/hsa:7124%09red/hsa:5728%09red/hsa:8503%09red
DNA Double Strand Break Response	Reactome	R-HSA-5693606	3	77	0.005414806	0.018757043	UBE2I|EYA4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693606
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	6	354	0.00545932	0.01884346	TP53|PIK3CA|CDC37|PTEN|PIK3R3|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:8517%09red/hsa:8503%09red/hsa:5290%09red/hsa:7157%09red/hsa:5728%09red/hsa:11140%09red
T cell activation	PANTHER	P00053	3	78	0.005605059	0.019277398	PIK3CA|NFATC4|PIK3R3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00053
Complement and coagulation cascades	KEGG PATHWAY	hsa04610	3	79	0.00579928	0.019874401	SERPINB2|MBL2|CD55	http://www.genome.jp/kegg-bin/show_pathway?hsa04610/hsa:5055%09red/hsa:4153%09red/hsa:1604%09red
NOTCH3 Intracellular Domain Regulates Transcription	Reactome	R-HSA-9013508	2	24	0.005872942	0.019984606	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013508
Signaling by EGFR in Cancer	Reactome	R-HSA-1643713	2	24	0.005872942	0.019984606	PIK3CA|CDC37	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643713
Signaling by NOTCH4	Reactome	R-HSA-9013694	3	80	0.005997492	0.020336565	PSMD4|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013694
Wnt signaling pathway	KEGG PATHWAY	hsa04310	4	160	0.006164049	0.020827996	CACYBP|NFATC4|TP53|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04310/hsa:27101%09red/hsa:1387%09red/hsa:4776%09red/hsa:7157%09red
@@Wnt signaling pathway	PANTHER	P00057	5	294	0.010782363	0.031753565	TP53|NFATC4|TNF|SMARCB1|CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00057
Cyclin A/B1/B2 associated events during G2/M transition	Reactome	R-HSA-69273	2	25	0.00632448	0.021295364	CCNH|FOXM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69273
B cell receptor signaling pathway	KEGG PATHWAY	hsa04662	3	82	0.006405969	0.02134584	PIK3CA|PIK3R3|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04662/hsa:5290%09red/hsa:8517%09red/hsa:8503%09red
ER-Phagosome pathway	Reactome	R-HSA-1236974	3	82	0.006405969	0.02134584	PSMD4|CD14|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236974
Cyclin E associated events during G1/S transition 	Reactome	R-HSA-69202	3	82	0.006405969	0.02134584	PSMD4|CCNH|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69202
Jak-STAT signaling pathway	KEGG PATHWAY	hsa04630	4	162	0.006429529	0.02135047	PIK3CA|GFAP|PIK3R3|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04630/hsa:5290%09red/hsa:1387%09red/hsa:2670%09red/hsa:8503%09red
Maturity onset diabetes of the young	KEGG PATHWAY	hsa04950	2	26	0.006791337	0.022109596	ONECUT1|HNF4A	http://www.genome.jp/kegg-bin/show_pathway?hsa04950/hsa:3175%09red/hsa:6927%09red
Interleukin receptor SHC signaling	Reactome	R-HSA-912526	2	26	0.006791337	0.022109596	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912526
Caspase activation via extrinsic apoptotic signalling pathway	Reactome	R-HSA-5357769	2	26	0.006791337	0.022109596	TICAM1|CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357769
Metal ion SLC transporters	Reactome	R-HSA-425410	2	26	0.006791337	0.022109596	SLC39A1|SLC39A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-425410
