##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Reactome	R-HSA-2559584	2	16	0.0701387345158	0.114392157878	TP53|HMGA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559584
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	Reactome	R-HSA-210744	2	16	0.0701387345158	0.114392157878	KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210744
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Reactome	R-HSA-2173791	2	16	0.0701387345158	0.114392157878	TGFBR2|PARD6A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173791
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	2	16	0.0701387345158	0.114392157878	STAT6|XRCC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941
Recycling of bile acids and salts	Reactome	R-HSA-159418	2	16	0.0701387345158	0.114392157878	NCOA1|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159418
Processing of SMDT1	Reactome	R-HSA-8949664	2	16	0.0701387345158	0.114392157878	PHB|AFG3L2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8949664
superpathway of pyrimidine deoxyribonucleoside salvage	BioCyc	PWY-7200	2	16	0.0701387345158	0.114392157878	NME3|TK1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7200
Alzheimer disease	KEGG PATHWAY	hsa05010	8	171	0.0726698134139	0.118409844948	NDUFA7|RTN4|FAS|GRIN2B|MAPK1|ADAM17|NAE1|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:3553%09red/hsa:5594%09red/hsa:4701%09red/hsa:57142%09red/hsa:6868%09red/hsa:355%09red/hsa:2904%09red/hsa:8883%09red
Apoptotic cleavage of cellular proteins	Reactome	R-HSA-111465	3	37	0.0732980075772	0.119322337916	BIRC2|SATB1|CLSPN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111465
PI-3K cascade:FGFR4	Reactome	R-HSA-5654720	2	17	0.0771621481041	0.124684911526	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654720
KSRP (KHSRP) binds and destabilizes mRNA	Reactome	R-HSA-450604	2	17	0.0771621481041	0.124684911526	AKT1|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450604
Defective GALNT12 causes colorectal cancer 1 (CRCS1)	Reactome	R-HSA-5083636	2	17	0.0771621481041	0.124684911526	MUC1|GALNT12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5083636
Regulation of RUNX1 Expression and Activity	Reactome	R-HSA-8934593	2	17	0.0771621481041	0.124684911526	SRC|CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8934593
Metabolism of nitric oxide: eNOS activation and regulation	Reactome	R-HSA-202131	2	17	0.0771621481041	0.124684911526	AKT1|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202131
Gastrin-CREB signalling pathway via PKC and MAPK	Reactome	R-HSA-881907	2	17	0.0771621481041	0.124684911526	RPS6KA2|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-881907
Regulation of necroptotic cell death	Reactome	R-HSA-5675482	2	17	0.0771621481041	0.124684911526	FAS|BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675482
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	Reactome	R-HSA-936964	2	17	0.0771621481041	0.124684911526	CD14|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936964
5HT2 type receptor mediated signaling pathway	PANTHER	P04374	4	62	0.0773632515265	0.124894548129	PRKCH|PRKCE|GNG11|PLCG2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04374
Molecules associated with elastic fibres	Reactome	R-HSA-2129379	3	38	0.0777137635443	0.12534477991	EFEMP1|TGFB2|LTBP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2129379
Peptide hormone metabolism	Reactome	R-HSA-2980736	5	89	0.0799171092996	0.12877987226	PLA2G7|CDX2|DPP4|MYRIP|TCF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980736
O-linked glycosylation of mucins	Reactome	R-HSA-913709	4	63	0.0807688433071	0.130032636419	MUC1|GALNT12|GALNT10|GALNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-913709
GABA B receptor activation	Reactome	R-HSA-977444	3	39	0.0822430990562	0.132162923185	KCNJ2|ADCY8|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977444
Activation of GABAB receptors	Reactome	R-HSA-991365	3	39	0.0822430990562	0.132162923185	KCNJ2|ADCY8|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-991365
Salivary secretion	KEGG PATHWAY	hsa04970	5	90	0.0827570306216	0.132745007872	ADCY8|ADRB2|AQP5|BST1|ADCY3	http://www.genome.jp/kegg-bin/show_pathway?hsa04970/hsa:109%09red/hsa:154%09red/hsa:683%09red/hsa:362%09red/hsa:114%09red
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410	5	90	0.0827570306216	0.132745007872	TGFB2|TNNT2|TPM3|TNNI3|TNNC1	http://www.genome.jp/kegg-bin/show_pathway?hsa05410/hsa:7137%09red/hsa:7170%09red/hsa:7042%09red/hsa:7139%09red
Fatty acid biosynthesis	KEGG PATHWAY	hsa00061	2	18	0.0843954129714	0.134509993351	MECR|ACSL3	http://www.genome.jp/kegg-bin/show_pathway?hsa00061/hsa:51102%09red/hsa:2181%09red
G beta:gamma signalling through BTK	Reactome	R-HSA-8964315	2	18	0.0843954129714	0.134509993351	GNG11|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964315
Signaling by FGFR3 point mutants in cancer	Reactome	R-HSA-8853338	2	18	0.0843954129714	0.134509993351	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853338
PI-3K cascade:FGFR2	Reactome	R-HSA-5654695	2	18	0.0843954129714	0.134509993351	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654695
TCA cycle	BioCyc	PWY66-398	2	18	0.0843954129714	0.134509993351	DLST|SUCLG1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-398
@@TCA cycle	PANTHER	P00051	1	10	0.237651957158	0.308982856632	SUCLG1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00051
D-myo-inositol-5-phosphate metabolism	BioCyc	PWY-6367	2	18	0.0843954129714	0.134509993351	PLCG2|PIP4K2C	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6367
Glycine, serine and threonine metabolism	KEGG PATHWAY	hsa00260	3	40	0.0868832670091	0.137847431791	MAOA|SHMT2|PGAM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:441531%09red/hsa:6472%09red/hsa:4128%09red
MET promotes cell motility	Reactome	R-HSA-8875878	3	40	0.0868832670091	0.137847431791	SRC|RAP1A|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875878
RNA Polymerase III Transcription	Reactome	R-HSA-74158	3	40	0.0868832670091	0.137847431791	BRF2|TBP|NFIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74158
RNA Polymerase III Abortive And Retractive Initiation	Reactome	R-HSA-749476	3	40	0.0868832670091	0.137847431791	BRF2|TBP|NFIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-749476
Unfolded Protein Response (UPR)	Reactome	R-HSA-381119	5	92	0.0885948989971	0.140435754751	NFYB|SSR1|EIF2S1|SHC1|PDIA6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381119
Aminoacyl-tRNA biosynthesis	KEGG PATHWAY	hsa00970	4	66	0.0914199450123	0.143347260124	TARS|EPRS|IARS|RARS	http://www.genome.jp/kegg-bin/show_pathway?hsa00970/hsa:6897%09red/hsa:2058%09red/hsa:5917%09red/hsa:3376%09red
Glycolysis	Reactome	R-HSA-70171	4	66	0.0914199450123	0.143347260124	PPP2CA|PPP2R5D|ALDOB|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70171
@@Glycolysis	PANTHER	P00024	1	17	0.358579354263	0.422283896339	PGAM1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00024
@@glycolysis	BioCyc	PWY66-400	1	25	0.473497275412	0.521472770277	ALDOB	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-400
Histamine H1 receptor mediated signaling pathway	PANTHER	P04385	3	41	0.0916314553655	0.143347260124	PRKCH|PRKCE|PLCG2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04385
Sphingolipid de novo biosynthesis	Reactome	R-HSA-1660661	3	41	0.0916314553655	0.143347260124	SPHK2|PRKD1|FA2H	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660661
protein ubiquitylation	BioCyc	PWY-7511	3	41	0.0916314553655	0.143347260124	UBE2I|RNF216|UBE2D3	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7511
Regulated Necrosis	Reactome	R-HSA-5218859	2	19	0.0918241591993	0.143347260124	FAS|BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218859
RIPK1-mediated regulated necrosis	Reactome	R-HSA-5213460	2	19	0.0918241591993	0.143347260124	FAS|BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5213460
Signaling by Hippo	Reactome	R-HSA-2028269	2	19	0.0918241591993	0.143347260124	AMOTL2|MST1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2028269
Regulation of TP53 Activity through Methylation	Reactome	R-HSA-6804760	2	19	0.0918241591993	0.143347260124	CHEK2|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804760
Phase 4 - resting membrane potential	Reactome	R-HSA-5576886	2	19	0.0918241591993	0.143347260124	KCNJ2|KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5576886
Na+/Cl- dependent neurotransmitter transporters	Reactome	R-HSA-442660	2	19	0.0918241591993	0.143347260124	SLC6A3|SIT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-442660
Listeria monocytogenes entry into host cells	Reactome	R-HSA-8876384	2	19	0.0918241591993	0.143347260124	SRC|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876384
SHC1 events in ERBB2 signaling	Reactome	R-HSA-1250196	2	19	0.0918241591993	0.143347260124	PRKCE|SHC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1250196
Downstream signaling of activated FGFR3	Reactome	R-HSA-5654708	2	19	0.0918241591993	0.143347260124	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654708
Receptor-type tyrosine-protein phosphatases	Reactome	R-HSA-388844	2	19	0.0918241591993	0.143347260124	PPFIBP2|NTRK3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388844
Nicotinamide salvaging	Reactome	R-HSA-197264	2	19	0.0918241591993	0.143347260124	PTGS2|PARP10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-197264
3-phosphoinositide degradation	BioCyc	PWY-6368	2	19	0.0918241591993	0.143347260124	INPP5K|TEP1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6368
HDR through Homologous Recombination (HRR)	Reactome	R-HSA-5685942	4	67	0.0951119881937	0.148215475814	BRCA1|BRIP1|TOPBP1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685942
Interferon alpha/beta signaling	Reactome	R-HSA-909733	4	67	0.0951119881937	0.148215475814	TYK2|IRF8|PTPN6|OASL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-909733
SIRT1 negatively regulates rRNA expression	Reactome	R-HSA-427359	4	68	0.0988732138131	0.153939612253	SUV39H1|TBP|SIRT1|H2AFX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427359
One carbon pool by folate	KEGG PATHWAY	hsa00670	2	20	0.09943459124	0.154538663117	GARS|SHMT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00670/hsa:6472%09red/hsa:2618%09red
Lagging Strand Synthesis	Reactome	R-HSA-69186	2	20	0.09943459124	0.154538663117	POLA1|PRIM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69186
Metabotropic glutamate receptor group II pathway	PANTHER	P00040	3	43	0.101440367846	0.157376457207	PRKAR2B|GNG11|GRM2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00040
Voltage gated Potassium channels	Reactome	R-HSA-1296072	3	43	0.101440367846	0.157376457207	ELK3|KCNQ5|KCNQ3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296072
Renin secretion	KEGG PATHWAY	hsa04924	4	69	0.102702569432	0.159193531006	KCNJ2|ADRB2|NPPA|PDE3B	http://www.genome.jp/kegg-bin/show_pathway?hsa04924/hsa:154%09red/hsa:5140%09red/hsa:3759%09red/hsa:4878%09red
Interleukin-37 signaling	Reactome	R-HSA-9008059	2	21	0.107213468505	0.165745203078	PTPN6|PTPN5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9008059
Phosphorylation of CD3 and TCR zeta chains	Reactome	R-HSA-202427	2	21	0.107213468505	0.165745203078	PAG1|PTPRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202427
Ras activation upon Ca2+ influx through NMDA receptor	Reactome	R-HSA-442982	2	21	0.107213468505	0.165745203078	GRIN2B|CAMK2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-442982
Elastic fibre formation	Reactome	R-HSA-1566948	3	45	0.111646333757	0.172445793535	EFEMP1|TGFB2|LTBP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1566948
Formation of the cornified envelope	Reactome	R-HSA-6809371	6	129	0.112929010031	0.174273163628	TGM1|KRT81|KRT20|KRT15|CDSN|KRT6A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6809371
Unblocking of NMDA receptors, glutamate binding and activation	Reactome	R-HSA-438066	2	22	0.115148086559	0.176917604458	GRIN2B|CAMK2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-438066
Citric acid cycle (TCA cycle)	Reactome	R-HSA-71403	2	22	0.115148086559	0.176917604458	DLST|SUCLG1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71403
Post-chaperonin tubulin folding pathway	Reactome	R-HSA-389977	2	22	0.115148086559	0.176917604458	TUBA1A|TUBA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389977
Negative regulation of NMDA receptor-mediated neuronal transmission	Reactome	R-HSA-9617324	2	22	0.115148086559	0.176917604458	GRIN2B|CAMK2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9617324
Transcriptional regulation of pluripotent stem cells	Reactome	R-HSA-452723	2	22	0.115148086559	0.176917604458	SALL1|PBX1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-452723
Nuclear Envelope Breakdown	Reactome	R-HSA-2980766	3	46	0.116890705213	0.179437486073	CCNB2|VRK1|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980766
Ether lipid metabolism	KEGG PATHWAY	hsa00565	3	47	0.122225278552	0.187297931232	PLA2G7|PAFAH1B1|PAFAH1B3	http://www.genome.jp/kegg-bin/show_pathway?hsa00565/hsa:5050%09red/hsa:5048%09red/hsa:7941%09red
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Reactome	R-HSA-193368	2	23	0.123226258896	0.187844906854	NCOA1|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193368
Negative regulation of FGFR3 signaling	Reactome	R-HSA-5654732	2	23	0.123226258896	0.187844906854	PPP2CA|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654732
Glutamate Neurotransmitter Release Cycle	Reactome	R-HSA-210500	2	23	0.123226258896	0.187844906854	GLS2|SLC38A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210500
BBSome-mediated cargo-targeting to cilium	Reactome	R-HSA-5620922	2	23	0.123226258896	0.187844906854	CCT5|ARL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620922
Downstream signaling of activated FGFR4	Reactome	R-HSA-5654716	2	23	0.123226258896	0.187844906854	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654716
RHO GTPases activate PAKs	Reactome	R-HSA-5627123	2	23	0.123226258896	0.187844906854	MYH10|CTTN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5627123
Gastric acid secretion	KEGG PATHWAY	hsa04971	4	75	0.127046140946	0.193499344348	KCNJ2|ADCY8|CAMK2B|ADCY3	http://www.genome.jp/kegg-bin/show_pathway?hsa04971/hsa:816%09red/hsa:109%09red/hsa:3759%09red/hsa:114%09red
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle	BioCyc	PWY66-407	3	48	0.127646987638	0.194245415971	DLST|ALDOB|SUCLG1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-407
PPAR signaling pathway	KEGG PATHWAY	hsa03320	4	76	0.13132011662	0.198293561627	PPARG|RXRA|OLR1|ACSL3	http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:5468%09red/hsa:2181%09red/hsa:4973%09red/hsa:6256%09red
Metabotropic glutamate receptor group I pathway	PANTHER	P00041	2	24	0.13143629929	0.198293561627	GRIN2B|GRM5	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00041
Downstream signaling of activated FGFR1	Reactome	R-HSA-5654687	2	24	0.13143629929	0.198293561627	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654687
Regulation of IFNA signaling	Reactome	R-HSA-912694	2	24	0.13143629929	0.198293561627	TYK2|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912694
HSF1-dependent transactivation	Reactome	R-HSA-3371571	2	24	0.13143629929	0.198293561627	CAMK2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371571
Triglyceride catabolism	Reactome	R-HSA-163560	2	24	0.13143629929	0.198293561627	PPP1CA|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163560
Telomere C-strand (Lagging Strand) Synthesis	Reactome	R-HSA-174417	2	24	0.13143629929	0.198293561627	POLA1|PRIM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174417
Downstream signaling of activated FGFR2	Reactome	R-HSA-5654696	2	24	0.13143629929	0.198293561627	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654696
Sema4D in semaphorin signaling	Reactome	R-HSA-400685	2	24	0.13143629929	0.198293561627	MYH10|RRAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400685
Phase I - Functionalization of compounds	Reactome	R-HSA-211945	5	105	0.131440303707	0.198293561627	NCOA1|MAOA|VDR|NQO2|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211945
Cysteine and methionine metabolism	KEGG PATHWAY	hsa00270	3	49	0.133152754165	0.200531256273	DNMT3B|DNMT1|LDHA	http://www.genome.jp/kegg-bin/show_pathway?hsa00270/hsa:3939%09red/hsa:1789%09red/hsa:1786%09red
XBP1(S) activates chaperone genes	Reactome	R-HSA-381038	3	49	0.133152754165	0.200531256273	SSR1|SHC1|PDIA6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381038
Antiviral mechanism by IFN-stimulated genes	Reactome	R-HSA-1169410	4	77	0.135652651422	0.202990659385	TRIM25|NEDD4|OASL|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169410
Extracellular matrix organization	Reactome	R-HSA-1474244	11	298	0.136721386915	0.202990659385	TGFB2|LTBP4|MMP12|EFEMP1|OPTC|AGRN|ADAM12|ICAM1|ADAM17|SERPINH1|PPIB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
Serine glycine biosynthesis	PANTHER	P02776	1	5	0.137569669731	0.202990659385	SHMT2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02776
@@serine and glycine biosynthesis	BioCyc	SER-GLYSYN-PWY	1	6	0.158584681012	0.225996084503	SHMT2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=SER-GLYSYN-PWY
D-Glutamine and D-glutamate metabolism	KEGG PATHWAY	hsa00471	1	5	0.137569669731	0.202990659385	GLS2	http://www.genome.jp/kegg-bin/show_pathway?hsa00471/hsa:27165%09red
FasL/ CD95L signaling	Reactome	R-HSA-75157	1	5	0.137569669731	0.202990659385	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75157
Fructose catabolism	Reactome	R-HSA-70350	1	5	0.137569669731	0.202990659385	ALDOB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70350
Biosynthesis of EPA-derived SPMs	Reactome	R-HSA-9018679	1	5	0.137569669731	0.202990659385	PTGS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018679
TGFBR1 KD Mutants in Cancer	Reactome	R-HSA-3656532	1	5	0.137569669731	0.202990659385	TGFBR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3656532
IRS activation	Reactome	R-HSA-74713	1	5	0.137569669731	0.202990659385	IRS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74713
Signaling by MST1	Reactome	R-HSA-8852405	1	5	0.137569669731	0.202990659385	MST1R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852405
tRNA processing in the mitochondrion	Reactome	R-HSA-6785470	1	5	0.137569669731	0.202990659385	ELAC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785470
RUNX1 regulates expression of components of tight junctions	Reactome	R-HSA-8935964	1	5	0.137569669731	0.202990659385	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8935964
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	Reactome	R-HSA-3134973	1	5	0.137569669731	0.202990659385	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134973
Reelin signalling pathway	Reactome	R-HSA-8866376	1	5	0.137569669731	0.202990659385	FYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866376
G2/M DNA replication checkpoint	Reactome	R-HSA-69478	1	5	0.137569669731	0.202990659385	CCNB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69478
RUNX3 regulates BCL2L11 (BIM) transcription	Reactome	R-HSA-8952158	1	5	0.137569669731	0.202990659385	RUNX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8952158
NOSTRIN mediated eNOS trafficking	Reactome	R-HSA-203641	1	5	0.137569669731	0.202990659385	CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-203641
SMAD2/3 Phosphorylation Motif Mutants in Cancer	Reactome	R-HSA-3304356	1	5	0.137569669731	0.202990659385	TGFBR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3304356
dopamine degradation	BioCyc	PWY6666-2	1	5	0.137569669731	0.202990659385	MAOA	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY6666-2
glycine betaine degradation	BioCyc	PWY-3661-1	1	5	0.137569669731	0.202990659385	SHMT2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-3661-1
folate polyglutamylation	BioCyc	PWY-2161	1	5	0.137569669731	0.202990659385	SHMT2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-2161
pyrimidine deoxyribonucleosides salvage	BioCyc	PWY-7199	1	5	0.137569669731	0.202990659385	TK1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7199
MAP kinase cascade	BioCyc	PWY66-14	1	5	0.137569669731	0.202990659385	MAPK1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-14
tetrapyrrole biosynthesis	BioCyc	PWY-5189	1	5	0.137569669731	0.202990659385	UROS	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-5189
Vibrio cholerae infection	KEGG PATHWAY	hsa05110	3	50	0.138739492684	0.204200262571	PLCG2|ATP6V1E1|ADCY3	http://www.genome.jp/kegg-bin/show_pathway?hsa05110/hsa:109%09red/hsa:529%09red/hsa:5336%09red
N-Glycan biosynthesis	KEGG PATHWAY	hsa00510	3	50	0.138739492684	0.204200262571	RPN1|GANAB|TUSC3	http://www.genome.jp/kegg-bin/show_pathway?hsa00510/hsa:7991%09red/hsa:23193%09red/hsa:6184%09red
Basigin interactions	Reactome	R-HSA-210991	2	25	0.139767004689	0.205367135353	PPIA|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210991
fatty acid alpha-oxidation III	BioCyc	PWY66-388	2	25	0.139767004689	0.205367135353	ACSL3|FA2H	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-388
IRE1alpha activates chaperones	Reactome	R-HSA-381070	3	51	0.144404115326	0.211416579967	SSR1|SHC1|PDIA6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381070
Formation of the ternary complex, and subsequently, the 43S complex	Reactome	R-HSA-72695	3	51	0.144404115326	0.211416579967	EIF3I|EIF3B|EIF2S1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72695
Cargo trafficking to the periciliary membrane	Reactome	R-HSA-5620920	3	51	0.144404115326	0.211416579967	PKD2|CCT5|ARL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620920
