gene	p
SNAP25	0.016914
GNG7	8.27e-05
PTGFR	0.012398
RB1CC1	0.010369
TDRD7	3.92e-05
PLIN2	0.001491
NXN	0.028234
NFKB1	0.00080425
MYOZ1	0.00123
CD7	0.010848
CDON	7.02e-05
NLRP12	2.44e-05
SMARCC2	1.26e-05
LIG4	0.003205
MECP2	2.09e-06
ZAP70	0.014627
LY86	0.032368
XPA	1.69e-05
CRTC3	0.0024957
CD101	5.85e-07
XPC	3.63e-06
MAP3K4	0.00011825
GFRA2	9.06e-08
LITAF	0.0067969
RIPK2	0.0029178
NFATC1	0.0012552
DNAJB6	0.00090841
DOK3	0.0016277
MICAL1	0.017879
EHD3	0.0032224
CNKSR2	7.47e-06
PJA2	0.0012565
YTHDC1	1.88e-05
ADCY3	0.00015962
MAPK8	0.000436
GOLGA7	0.0028492
PTGIR	4.53e-08
FBXO7	7.94e-05
DUSP7	1.02e-05
WTIP	0.00011496
ASAH1	0.032849
RFX2	0.0065109
MAPK1	0.0020916
PYGM	3.6e-05
COL4A3	1.5e-07
CCNA1	0.037579
TCF12	5.3e-05
ABCA1	0.0007694
PGM1	0.00096554
SYT11	0.004214
CD244	2.16e-11
SIRPA	0.009035
POLI	0.017092
TXNL4A	0.00024604
PTPRD	0.0084816
VCL	3.97e-05
RNF11	0.01697
DIAPH2	0.005964
NUPR1	0.011042
SP110	0.00050961
STAT6	0.00053798
PURA	4.25e-06
MYD88	4.5e-06
RASGRP2	4.06e-08
PPL	0.030876
MAP7D1	0.00033189
EID2B	0.0022367
HOXA3	0.0026525
UTP3	0.00067034
PHF10	4.06e-05
CYTH1	7.87e-08
MRAS	8.51e-07
VPS37A	0.028539
UBE2B	0.0047074
SLN	0.016182
RTN4	1.3e-06
PHC1	1.74e-06
FRAT2	0.00084854
SGCD	0.00055263
DUSP3	0.0035278
GSTO1	1.71e-05
NDEL1	6.12e-11
MSN	8.76e-12
VPS4B	1.76e-05
VAPB	0.010851
PDGFB	6.16e-10
CD59	0.00097723
STX7	0.00033216
EPS15	9.98e-07
ADD1	0.00026942
ADAM33	0.0012418
KIR2DL3	5.21e-08
PDCD2	0.00032134
VAMP2	0.0028159
MAFB	0.0081409
GTF2H5	2.62e-06
IRAK1BP1	0.012711
DHCR24	0.018561
NAB1	0.025976
FBXO11	0.019059
MORF4L1	0.00021854
HOXA2	2.9e-07
APBB2	0.00088047
SNRK	0.042148
MARCH2	0.00029058
TLE2	0.0015802
COL4A6	5.05e-06
CYTIP	0.04846
IGF1R	0.011899
COTL1	0.0025813
WAC	0.037692
KLF13	0.0031996
HEY2	0.00053542
CXCL2	0.0032823
CD1D	0.0048634
ANKRD27	8.8e-05
ADAM17	0.00014156
VTI1B	0.00040963
HEYL	1.84e-07
SOX13	0.00030373
SH3RF3	0.0089513
JAG1	0.031695
C3	0.038003
FES	8.8e-06
HEXIM1	5.8e-06
RANBP2	0.0012499
WIPF1	0.0095348
PNRC2	0.001321
HIVEP3	0.0042866
PHLDA1	0.022371
APBB1	7.27e-08
MAN2A2	2.85e-07
APPL1	0.0086629
TPST2	4.32e-05
FBXO30	0.00011065
DCC	1.16e-12
DOCK2	1.62e-06
STAT5A	2.58e-05
ZRANB1	0.00012813
RXRG	0.0002165
TSC1	2.88e-05
SMAD6	7.58e-07
KCNB1	1.06e-06
VIP	7.1e-10
NLRP1	1.1e-05
AES	0.0020981
TWIST2	4.31e-06
COL4A5	0.00051277
RHOQ	0.0055082
TNFSF14	2.64e-05
ZNFX1	1.85e-06
HOMER1	0.004095
UVRAG	3.83e-08
CD33	0.00039428
FLT4	1.2e-06
CD14	0.030563
ATF1	0.030875
HACE1	0.0061613
KATNAL1	6.92e-07
PPP2CB	1.45e-06
ANXA11	6.8e-08
SDCBP	6.82e-06
S1PR4	2.12e-05
IKZF5	3.74e-06
RELL1	2.23e-08
MPP1	0.0023297
ABCC9	2.41e-09
GKAP1	0.0016283
RAC2	0.0050554
DCP1A	1.52e-07
ITGB1BP1	0.01171
EHBP1	0.00025285
ING3	2.77e-05
STXBP1	0.019622
SCN3B	6.39e-09
FERMT3	0.0024002
NMT2	3.31e-07
P2RX7	0.0043645
MID1IP1	0.0017558
APC	0.00016417
MAST3	4.62e-08
SKAP2	0.022909
ARRB2	0.0041102
PARVG	0.00081463
CRK	0.00024511
ROBO2	0.00064299
GPSM1	1.04e-08
IFNG	0.013599
MEF2C	0.00095584
EFEMP2	0.0007057
HMGCR	0.0011811
NRBF2	0.022855
MKNK2	4.45e-05
AKAP13	0.0048578
SLC27A6	1.49e-10
LSAMP	3.13e-10
MPHOSPH8	0.00053015
TP53BP2	3.45e-05
WBP4	3.8e-05
FOXO3	0.015307
EID1	5.83e-05
NOD2	0.0028742
CHMP1B	0.00022734
SHOC2	0.00021777
CUL3	0.0018108
STOML3	0.00010865
VEGFA	0.013626
SEPT7	8e-06
LRP2	0.01113
UNC13D	6.03e-07
NCF4	0.0024125
TRIP12	6.43e-06
TNFRSF1A	1.78e-06
KIR2DL2	1.43e-06
CRY2	1.21e-05
RAP1B	0.00011634
CTSS	0.0035038
ZNF24	0.0042766
SLC38A2	0.0036687
IL1A	4.54e-05
NLRP3	0.0018392
KPNA3	9.86e-05
PIK3R3	0.0010367
TRIOBP	9.18e-10
AK1	0.00016753
RORA	0.00017085
GLUD1	0.003285
SHANK2	1.03e-07
PIGA	0.012351
MTMR6	9.64e-07
MXI1	4.43e-07
INSC	0.0011079
MYH2	5.59e-09
LAPTM5	0.0021677
PHACTR1	1.04e-05
NCALD	2.04e-09
SYTL4	0.0051452
GUCY1A3	0.003546
WTAP	0.011816
KPNA5	0.0057106
AP1S2	1.79e-05
GGTLC1	0.029817
PPFIBP1	0.00057796
CD47	0.0092415
FRYL	0.0083866
KCNJ15	0.023247
NDFIP1	1.58e-07
NUDT3	8.48e-05
BAG1	1.59e-08
SIRT1	0.0011253
AIF1	0.0016121
IL4R	2.96e-05
REPS2	0.020415
FRAT1	5.05e-05
PLXNA2	0.001811
NFKBIA	8.16e-07
SPRY2	0.0027588
BMPR2	0.00032238
KLRG1	6.83e-06
PPP6C	1.79e-06
CLASP2	2.02e-06
PLAUR	0.031373
PIP4K2A	0.031969
KHDRBS2	1e-06
RWDD1	5.3e-07
GNA11	3.05e-10
LMO4	7.49e-08
TXK	5.87e-05
RGS13	0.0020339
GALNT13	3.05e-07
PIK3C2A	0.030689
MYO1C	1.14e-07
PXN	0.00014148
TRAK2	2.96e-07
IFT88	8.49e-09
CDC42EP5	0.014334
FLT1	0.0037049
STC2	0.00062539
HPGDS	0.0095305
RALB	0.00056406
PCSK9	3.61e-06
PPP4R4	1.08e-07
REL	0.0048482
SACM1L	4.14e-08
TGFB1I1	0.0010679
PGM5	9.2e-05
IRF8	0.00037904
MLF1	0.019534
A2M	5.62e-15
NCK1	0.0039668
RAB11FIP2	1.8e-07
PCM1	1.84e-06
C1QC	0.0033261
CHN1	0.0011944
XCL1	1.24e-06
PSIP1	6.24e-05
HNRNPU	0.00010424
ZDHHC3	1.79e-09
CYCS	0.00060994
CYLD	0.00021153
LAMB1	0.0089559
BTK	5.14e-05
TSPAN4	0.00027721
RBPMS	5.09e-07
FOXP1	2.22e-05
PARVA	1.56e-09
PRNP	0.00081767
GNA13	0.004355
ARHGAP29	5.39e-09
JMJD1C	2.47e-05
HMOX1	0.03824
TGFB2	1.78e-05
MLC1	2.22e-11
VAMP3	0.035142
PDZRN3	1.71e-07
PIK3CA	4.38e-05
SORBS3	8.53e-05
OSTM1	0.0039697
GPD1	3.96e-16
TLR3	0.0042059
MGLL	2.24e-05
RGN	0.0016341
TGM1	1.39e-12
PDE4DIP	4.16e-06
ASAP1	0.00033435
BCAR3	7.94e-06
PRKX	0.00049487
TMOD2	5.21e-10
SEPT11	1.33e-05
REV3L	0.0020078
MITF	0.00024409
MEOX2	0.00033226
ALDH2	3.99e-06
SASH3	0.0006603
TRIM16	0.0113
ENPEP	0.019858
SPI1	0.0066192
ITGA4	0.035456
ITSN2	1.12e-08
HIC1	3.85e-07
BCL2L2	1.6e-08
MYRIP	1.08e-07
CREB5	0.010872
CHRM1	4.51e-09
BMPR1A	5.3e-05
INPP5K	8.47e-18
PGR	3.26e-08
RALGDS	3e-05
SNX1	2.68e-07
STX2	2.19e-14
ITIH3	9.54e-06
CRY1	0.0001033
DYX1C1	0.0064969
FGF18	4.32e-07
TNFSF10	0.01727
BATF3	0.0004108
CPAMD8	0.00015263
PLCG2	7.29e-12
SECTM1	1.78e-05
TBC1D4	3.05e-07
SELPLG	5.39e-08
CSPG4	2.76e-06
CD58	0.035477
ETF1	4.19e-10
MSX1	1.5e-07
SERPINB9	0.017474
RNF144B	1.04e-05
ERAP1	5.31e-05
EDNRA	0.036325
SMARCA2	0.012212
BTBD3	0.00026808
FEM1B	0.00081168
EIF3M	0.00022404
NUAK1	0.0065855
IL2RB	0.00076887
TRIP10	1.47e-05
ATP2B4	8.15e-08
CARD16	7.83e-13
AGFG1	0.00014081
PALLD	0.0063408
PPP2CA	3.04e-06
WASF2	5.42e-08
SLC18A2	6.6e-05
METAP2	9.45e-06
RYR2	6.28e-08
ODC1	0.00016039
NXF3	1.21e-09
NR2F2	6.77e-05
HCLS1	0.0010766
NR3C1	3.69e-07
VIM	0.00030012
PRKG2	5.87e-08
IFT57	0.0053908
DKK3	0.0085617
CD8A	0.0026882
RHOA	0.04538
GATA2	2.33e-11
DAPK1	8.02e-06
BIRC3	0.0038949
BICD2	3.31e-05
IRS2	2.35e-05
CARD8	2.37e-08
SLCO3A1	1.23e-09
TFEC	0.016021
FZD5	5.59e-06
UBE2E2	2.41e-05
ZNF521	0.0040128
SPG20	1.62e-08
BCL10	0.00015815
PLCL2	0.00096055
IL1R1	7.94e-05
ITGAM	0.001489
C8B	6.88e-05
ZBTB24	3.94e-05
CCR1	0.00096323
PTH1R	3.02e-12
DLL1	1.08e-11
ULK2	1.32e-08
RASSF1	3.56e-10
GNAI2	0.0017663
SERPINB2	0.028215
NEK3	8.5e-08
TNFAIP8L1	6.83e-06
CLK1	1.88e-05
PLEK	0.00083166
NFIA	0.00019863
TLR1	0.0097581
VEPH1	0.0095211
IFIT2	0.00099401
TLE4	4.91e-06
PPP1R12A	7.1e-08
CXCR1	2.34e-07
PCSK5	0.00020142
ARHGEF15	2.19e-14
NRG1	1.9e-17
LRRN4	0.0081242
RAB11A	0.00045557
NR3C2	0.0033969
PKD2	0.00057619
TIMP2	0.0001415
SIRPB1	4.51e-10
AKT3	2.7e-10
NOTCH4	2.42e-16
ARHGAP21	3.98e-12
CLDN11	2.92e-06
PPARGC1B	1.72e-13
NOV	6.69e-05
CCK	2.6e-06
SLCO1A2	1.74e-07
HHEX	0.00088677
SEC63	1.01e-05
CSRP1	1.86e-09
CLEC4A	0.0025773
TBX5	5.2e-08
RPS6KA2	9.28e-05
PLAA	1.56e-05
SH3D19	1.23e-06
PAPSS1	5.71e-08
HDAC4	5.49e-07
GAS1	0.0011798
TUBA1A	2.88e-08
MFNG	3.82e-08
PPP1R15B	9.29e-05
LCP2	1.01e-06
PPM1F	1.9e-13
UBASH3B	3.95e-10
COL4A4	0.0001549
NFYB	0.00010897
WNT2	1.82e-06
RGS9	6.17e-13
RGS16	0.0022073
NDN	2.64e-05
MAPRE2	6.23e-10
CDC37L1	9.19e-06
PIK3C3	3.77e-09
MTMR9	9.36e-09
BACH2	2.85e-06
CSRP2	9.08e-05
PDE5A	1.58e-06
SIGLEC5	6.79e-09
STX12	1.41e-14
DNAJA1	7.16e-10
NR4A1	5.2e-09
CALCOCO1	4.19e-10
RUNX3	0.00012567
MMP19	1.11e-05
AREG	0.00022855
TPR	1.09e-06
TEAD4	4.23e-06
CAPN3	4.03e-05
RCAN1	0.0071792
ARHGAP9	0.00014091
PIK3R1	8.51e-05
DDX5	6.27e-07
ITGA6	0.0024852
TAC1	0.0063444
DLC1	0.0057433
NPDC1	8.32e-07
THBS1	0.01992
GAB1	1.98e-06
SYNE1	7.58e-08
RAP1A	2.57e-17
PPM1D	2.8e-07
HSPA2	0.0021342
NME5	0.002671
NES	3.46e-15
BTG1	9.81e-05
TGM2	0.0026945
CDK17	2.55e-06
MAP3K14	4.05e-07
AHNAK	2.24e-06
HLA-E	1.54e-16
MAP3K3	3.84e-13
IL3RA	1.97e-12
KIR2DS2	1.51e-09
CEBPB	1.3e-10
BMX	0.00046509
DYSF	8.16e-09
RBMS1	1.27e-10
PARVB	1.69e-11
PRKCB	4.77e-11
MEF2A	5.69e-08
THRB	7.02e-06
MAP4	2.36e-14
UNC13B	8.56e-06
JAM3	3.46e-05
EFNB2	6.15e-05
KIF1C	2.4e-15
PPARGC1A	3.08e-15
NFE2	0.00073906
F10	1.33e-13
PITPNM2	1.68e-12
HIF3A	2.63e-07
PAG1	2.34e-08
SPRY4	4.78e-05
NEDD9	8.4e-05
NCOA1	2.34e-16
CREM	0.00061043
ETS2	1.14e-05
LTC4S	3.23e-09
HK3	9.42e-07
NR5A2	1.39e-07
PBX1	6.39e-06
SSBP2	2.73e-08
SLA	1.99e-06
KCNRG	7.53e-07
IL15RA	8.6e-11
C2	2.29e-07
EYA4	5.36e-10
TSC22D3	0.0063053
PLN	0.010743
EIF1	8.05e-17
CASP1	5.27e-08
KIF17	4.37e-17
GCA	0.0001392
DUSP2	8.27e-05
HSPB3	2.57e-07
ADAMTSL4	8.79e-08
KCNJ2	0.0049778
IFNGR1	8.82e-05
OPTN	1.24e-11
PRAM1	2.77e-11
MAOA	0.0013158
UTRN	0.0011442
CFLAR	1.57e-07
BTG2	9.91e-06
SGCA	8.87e-10
LIN7A	1.1e-13
PLK2	2.37e-06
CDC42EP2	5.13e-12
FOSL2	0.0011074
SPON1	0.00028442
CD200	8.01e-05
NCF1	7.26e-05
RBP4	4.61e-08
KLF11	1.04e-13
RELN	2.45e-07
BCL6	1.55e-05
GPRIN2	4.14e-12
WWTR1	8.37e-07
PHEX	2.7e-09
SH2B3	9.07e-09
TUSC3	0.00069297
MYL9	6.5e-12
GRASP	3.4e-13
PRKCZ	6.59e-07
ACP5	0.00089827
PRICKLE1	1.06e-05
SLK	1.71e-14
JUN	8.41e-08
LMO2	1.85e-17
TNFRSF10D	2.27e-09
MACF1	3.67e-11
TRPC1	2.12e-05
ABCG1	9.6e-11
CXCL1	0.026175
MYOM2	1.34e-09
PTPRN2	2.49e-07
DNAJB1	2.86e-07
STARD13	1.14e-21
SIK1	1.54e-09
ITGA8	7.46e-10
CDKN1A	4.54e-05
CDH19	1.59e-16
EXT1	2.75e-08
IFIT3	1.62e-05
EMP3	3.71e-08
ENG	9.69e-09
CD55	3.44e-06
PIAS1	1.35e-14
TFPI	0.010443
RAPGEF1	1.48e-12
RGS5	0.0014137
IRAK3	0.00024441
CXCL5	0.012259
ZYX	3.26e-05
MT2A	4.63e-06
EHD1	1.68e-16
TAL1	1.37e-24
NTS	0.00012626
ARHGEF3	4.86e-14
CD163	0.00099455
RADIL	5.34e-20
TSLP	0.0011617
NEDD4	3.63e-08
ABHD5	1.14e-09
KCNA5	1.96e-08
FBP1	5.3e-06
GCH1	1.23e-05
GATA6	1.62e-09
NRGN	0.00017667
SERPINE1	0.01486
FST	0.0048059
MATN3	0.001434
PTGER2	1.61e-06
STX3	1.65e-10
CPM	5.83e-05
C1QA	0.00036633
PTPN21	2.27e-09
ARL6	5.31e-08
NLRC4	3.77e-13
SOD3	1.3e-06
FKBP5	0.0077761
JDP2	6.72e-15
DDR2	3.08e-05
PDPN	2.5e-09
DES	2.14e-17
TUBB1	3.06e-11
IL6R	0.00052382
ITGA5	8.93e-07
DENND4A	8.11e-07
ITPR1	2.13e-06
FFAR2	0.00024104
PZP	2.7e-13
TNFRSF1B	4.28e-09
FOXO1	1.76e-08
PRKCH	2.62e-07
CYB5A	1.32e-06
MCL1	5.65e-09
NTNG1	8.2e-20
PDE3B	7.45e-11
SHC3	4.04e-10
CAMP	4.42e-10
MAP2	2.8e-09
SATB1	2.14e-07
LCP1	5.57e-06
JAK2	2.04e-07
CCL18	0.0076238
CX3CR1	2.9e-08
RRAD	0.0010496
SCNN1B	6.99e-05
RASSF9	2.45e-08
ICAM4	0.00032718
PDLIM1	3.33e-14
SGK1	1.3e-06
OASL	4.56e-09
CCL5	0.00010344
SCNN1G	1.49e-09
PKIA	5.39e-06
GAB2	3.2e-18
WARS	3.17e-08
TYROBP	2.23e-07
CASQ2	1.25e-09
CITED2	0.00029605
IL15	5.94e-07
EHD2	4.56e-12
PRKCQ	1.26e-12
NPR1	2.58e-13
INPP1	1.3e-11
C1QB	2.92e-05
PILRA	3.97e-08
MCAM	3.14e-07
FZD4	5.49e-20
FEZ1	1.7e-15
RND1	0.00037936
LST1	1.01e-08
MYOCD	1.89e-05
LTBP4	5.59e-10
CLIC2	0.00020981
VLDLR	6.09e-06
SAP18	7.02e-14
STOM	1.95e-10
TJP1	1.82e-11
HCK	1.77e-08
VEGFC	6.84e-07
QKI	1.04e-11
CD300LF	1.76e-07
ID2	1.96e-10
CDKN2B	3.41e-09
SMAD7	1.76e-08
SESN1	1.95e-08
SOX18	1.04e-07
HSPB2	4.86e-16
ANKRD1	5.6e-11
KAT2B	1.81e-11
ABLIM1	2.55e-16
CETP	8.36e-10
INPP5A	1.64e-10
ITGAL	1.41e-09
TCF4	3.99e-08
DPP6	9.95e-19
GJA5	1.54e-07
EID3	2.44e-12
ANKS1A	1.86e-14
PHACTR3	0.0024166
AMOTL2	2.19e-11
INSIG1	6.4e-07
KLF10	3.52e-10
CSTA	3.08e-06
ITK	0.00020998
GAS6	5.67e-13
SH2D1B	8.32e-18
EGFL7	7.72e-11
CD247	1.39e-08
SEMA6A	2.84e-14
GNAQ	2.26e-18
FSTL3	8.33e-10
MXD1	3.11e-05
CDKN1C	8.56e-12
BST1	7.49e-09
FCER1G	7.58e-06
EIF3F	2.39e-10
NR2F1	2.04e-07
C4BPA	0.010443
PRELP	2.54e-09
FPR1	8.61e-12
SMAD9	4e-13
KIT	9.64e-06
HBEGF	2.17e-15
PLA2G5	1.56e-09
PTPRC	0.0001333
GUCY1A2	3.07e-12
CST7	2.88e-10
IGFBP6	3.65e-06
CNN1	4.26e-09
NPR3	1.91e-05
ABCB1	2.18e-09
ARHGEF6	1.88e-14
ALOX5	5.38e-08
PLSCR4	1.78e-07
RPGR	2.36e-09
PF4	9.01e-09
PDLIM3	1.02e-07
S100A10	1.8e-11
PRKAR2B	1.27e-05
CRIP1	4.48e-08
TGFBR2	8.61e-08
PLAGL1	5.11e-09
DOK6	1.53e-16
NCF2	1.17e-06
TMOD1	1.42e-19
HLF	1.09e-05
SSTR1	3.78e-12
KLF9	4.6e-12
TACC1	8.82e-12
DCN	3.48e-07
SRGN	5.04e-05
SHANK3	4.68e-18
F3	1.13e-09
LDLR	2.23e-07
SELL	6.37e-05
IL1R2	0.00052349
TIE1	7.66e-23
UACA	8.35e-12
LMO7	1.8e-17
ZFPM2	1.38e-06
MS4A2	5.26e-07
TREM1	2.76e-06
CSF3R	1.71e-10
GPRASP1	1.07e-06
FAS	1.07e-05
STARD9	6.61e-15
RDX	3.02e-05
GJA1	6.71e-07
HYAL2	2.06e-15
TLR4	6.06e-07
EGR2	6.06e-07
EBF1	8.16e-13
AGTPBP1	7.46e-24
MRC1	4.42e-07
FOXF2	6.55e-08
SERTAD1	9.64e-12
SOCS3	4.19e-08
CADM1	1.91e-08
MYO5B	1.99e-07
GPC3	2.99e-15
CD274	4.3e-11
ZEB2	6.75e-10
OSCAR	1.7e-11
NEBL	1.88e-15
DPYSL2	1.35e-14
GABARAPL1	1.01e-16
CXCL12	2.27e-09
FBLN1	8.02e-08
GZMA	2.15e-06
TBX2	2.4e-14
EPB41L2	1.25e-06
SLIT3	1.18e-14
JUNB	3.27e-10
SYNC	3.09e-08
CTGF	1.32e-05
HSPB8	1.64e-14
MEIS1	1.33e-13
BNIP2	6.43e-16
MYH10	8.56e-12
GRK5	1.08e-24
DAPK2	1.79e-16
IL1B	7.29e-06
IRF1	1.01e-10
FYN	4e-13
ELMO1	6.94e-15
GYPC	8.35e-18
CAT	2.4e-07
VWF	9.04e-21
SERPING1	6.03e-13
ACE	3.88e-16
MYOC	2.52e-16
PODXL	1.18e-16
PPARG	2.8e-10
ID3	1.45e-10
SH3BP5	1.06e-15
TRPC6	1.41e-12
OSR1	2.33e-09
LDB2	1.4e-22
PIP5K1B	1.91e-16
F8	9.54e-12
LILRB2	1.53e-11
S100A4	4.78e-16
MSLN	0.0010352
EGR1	9.12e-11
SERPINA3	5.59e-05
CX3CL1	1.08e-09
AGTR2	7.61e-08
CCDC50	1.31e-12
PRICKLE2	5.19e-13
CA2	0.00054661
TLR8	2.4e-08
BMP5	4.35e-08
PLA1A	3.26e-07
ALOX5AP	2.57e-07
HEY1	1.18e-11
RRAS	3.52e-18
S100A9	0.00011091
RAB8B	4.09e-08
WFS1	9.04e-21
FKBP1B	3.24e-10
ADM	4.4e-07
HSPB6	4.99e-09
CAMK2N1	7.84e-11
ATF3	2.17e-07
IL18RAP	1.17e-10
TIMP3	6.43e-12
NPY1R	4.46e-09
SLPI	9.71e-06
GMFG	2.78e-15
SLC22A4	7.16e-10
ETS1	2.41e-09
CBFA2T3	4.39e-21
PTPRM	1.92e-21
CSF2RB	2.83e-08
VSIG4	4.67e-09
COX4I2	2.13e-17
DUSP1	7.24e-05
RASIP1	1.7e-27
CTNNAL1	6.11e-16
NTN4	3.4e-08
CCL21	8.41e-08
FLI1	3.28e-07
C10orf10	1.78e-09
ANXA1	7.09e-09
NPNT	1.3e-14
CLU	7.52e-09
ARRB1	1.08e-24
ICAM1	3.41e-08
CCL2	0.00019208
CYR61	9.61e-09
TNFAIP3	6.5e-10
NFIL3	2.37e-08
PROS1	9.43e-12
LIMS2	1.08e-20
SPTBN1	4.1e-16
C7	2.09e-09
RAB11FIP1	1.76e-15
ZNF423	1.6e-09
KLF2	4.64e-17
NEDD4L	1.18e-14
CCL4	3.34e-09
FGF2	7.15e-14
KLRC3	4.62e-12
MAP3K8	2.76e-12
EPB41L3	6.26e-10
CFL2	3.32e-15
MYC	4.44e-07
KCNJ8	4.4e-18
RHOJ	3.17e-17
ERG	1.62e-20
BCL2A1	1.34e-06
RGS18	1.73e-07
SPARCL1	2.48e-13
ITGA1	6.18e-11
KLRD1	6.67e-15
CFP	2.95e-16
FERMT2	1.44e-10
AOX1	1.19e-14
BDNF	6.24e-22
GRIA1	7.46e-24
SH3GL2	5.49e-20
IL7R	1.24e-10
TEK	2.24e-26
BMPER	2.99e-20
ICAM2	2e-21
CCL23	1.49e-14
ARC	2.13e-15
ADRB1	5.74e-19
KDR	3e-13
FBLN5	3.23e-12
PTRF	4.43e-12
MGAM	2.24e-07
PLAC8	1.39e-10
PRF1	9.45e-17
CEBPD	1.08e-12
VAPA	1.33e-12
GADD45B	8.45e-13
CSF3	1.64e-08
HOXA5	4.81e-12
ID1	1.81e-09
FXYD6	1.92e-21
ZFP36	2.47e-12
FGR	1.04e-13
NR4A3	4.72e-09
SELP	2.35e-17
RAI2	6.67e-16
RGS2	7.44e-13
ID4	9.47e-11
OLR1	3.14e-07
IL18R1	9.17e-13
MAFF	5.88e-14
LIFR	1.77e-13
DPT	1.09e-12
FOS	8.4e-09
KLF6	2.74e-19
PTGDS	9.86e-11
MNDA	5.12e-10
WASF3	6.08e-14
CRYAB	1.74e-18
ACVRL1	8.99e-30
FHL5	4.43e-14
FLRT3	1.41e-09
CORO2B	7.43e-24
SH2D3C	7.21e-18
S100A8	3.88e-10
FPR2	1.19e-11
PPP1R15A	3.6e-18
GZMB	4.99e-12
PLA2G1B	1.03e-05
FXYD1	1.17e-17
CD93	6.13e-20
EDN1	1.12e-15
ANGPTL1	1.99e-19
IL1RL1	9.62e-11
ANGPT1	7.74e-13
HECW2	1.26e-15
PCDH17	1.49e-17
PTX3	2.03e-05
EFEMP1	2.52e-15
RAMP2	2.46e-18
AGTR1	1.5e-17
PECAM1	2.03e-16
EPAS1	9.23e-14
SYNM	9.95e-19
SCGB3A2	0.00013969
LPL	7.95e-14
RAPGEF4	7.01e-18
BMP2	9.04e-15
ANXA3	4.08e-11
AQP1	5.36e-13
RXFP1	9.87e-23
NR4A2	5.6e-11
KCNK3	1.04e-21
GHR	1.92e-15
SLIT2	1.23e-16
SPOCK2	4.52e-34
VIPR1	2.26e-15
CLIC5	1.2e-20
SELE	2.54e-06
PTGS2	5.25e-09
JAM2	9.03e-22
PTPRB	3.07e-25
ADRB2	2.1e-20
MARCO	2.19e-15
THBD	8.23e-20
CXCL3	1.16e-10
S1PR1	1.51e-23
PDK4	1.27e-11
CALCRL	3.11e-09
RAMP3	6.14e-22
MFAP4	2.49e-17
GNG11	5.84e-24
DACH1	5.93e-18
IL33	1.06e-12
SGCG	7.37e-31
CLDN5	2.45e-22
SFTPD	9.03e-09
TCF21	1.59e-23
TGFBR3	3.32e-17
CFD	4.34e-19
STX11	1.42e-25
ZBTB16	4.79e-09
CDH5	7.5e-25
AKAP12	2.12e-14
KL	3.43e-24
SOCS2	2.85e-11
CHRDL1	4.8e-13
CAV2	1.79e-17
MME	1.05e-23
KLF4	2.51e-17
CXCR2	5.69e-14
CAV1	2.95e-22
PPBP	2.51e-11
HBB	1.16e-15
AQP4	1.7e-13
FHL1	1.07e-16
FABP4	5.84e-24
STXBP6	1.93e-21
SOX7	5.65e-19
S100A12	2.34e-11
FOSB	1.05e-12
IL6	2.32e-12
CD36	5.24e-19
SLC6A4	5.92e-18
FAM107A	2.62e-26
NCKAP5	2.04e-32
TNNC1	2.07e-27
EDNRB	3.51e-22
CA4	2.04e-32
SCGB1A1	5.97e-10
SOSTDC1	4.74e-18
AGER	2.04e-32
